"signature_id",signature,product,"product_version"
2231,"ActiveX component download (Adware)","About_Blank",980
4504,"ActiveX component download (Adware)",CoolWebSearch,599
1486,"Agent ATFF Installer (Trojan)","Trojan-Downloader",3004
1102,"(Commercial Monitoring Software)","RemoteKeylogger.Client",3080
2441,"ActiveX component download (Adware)","About_Blank",980
889,"ActiveX component download (Adware)","About_Blank",980
2332,"ActiveX component download (Adware)","About_Blank",980
3313,"NaviSearch ActiveX component download (Adware)","eXact-Advertising",1169
1807,"Installer (Trojan)","FKM.JS",3386
4514,"ActiveX component download (Adware)",CoolWebSearch,599
597,"ActiveX component download (Adware)",CoolWebSearch,599
3520,"Installer (Trojan)",Installpedia,3386
4254,"ActiveX component download (Adware)",EliteBar,1124
719,"ActiveX component download (Adware)","Search_Miracle",844
2124,"Installer (Trojan)","Kraddare.E_6",3386
4449,"ActiveX component download (Adware)",KeenValue,530
688,"ActiveX component download (Adware)","Search_Miracle",844
2897,"Jumper_Two Setup Download jumper2.exe (Adware)","Bundled-Software",100
3299,"ActiveX component download (Adware)",INetBar,1644
1966,"Installer (Trojan)","StartPage.DAT",3386
3279,"ActiveX component download (Adware)",DialerPlatform,1152
1533,"ActiveX component download (Dialer)",Comload,470
2065,"Installer (Trojan)","GabPath.BZ_2",3386
2943,"MP3_Galaxy Setup Download mp3galaxysetup.exe (Adware)","Bundled-Software",100
4405,"ActiveX component download (Adware)",SearchitBar,498
3278,"ActiveX component download (Adware)",DialerPlatform,1152
3273,"ActiveX component download (Adware)",DialerPlatform,1152
266,"ActiveX component download (Dialer)","Instant-Access",817
1744,"Installer (Trojan)","Bredolab.BE",3386
1585,"STool Installer (Miscellaneous)",Steganography,3373
720,"ActiveX component download (Adware)","Search_Miracle",844
4212,"ActiveX component download (Dialer)","Instant-Access",817
1553,"CSS3 selection pseudo-element Online (Miscellaneous)",Steganography,3373
806,"ActiveX component download (Adware)","Search_Miracle",844
2481,"ActiveX component download (Adware)","About_Blank",980
2976,"Nostra DivX Player Setup Download Nostra2.1.exe (Adware)","Bundled-Software",100
3211,"ActiveX component download (Adware)",CoolWebSearch,599
1434,"File (Adware)",Cydoor,7
3136,"ActiveX component download (Adware)",CoolWebSearch,599
3878,"Installer (Trojan)","WiseMop_2",3386
3881,"Installer (Trojan)","Winggo.AA_12",3386
4413,"ActiveX component download (Adware)",KeenValue,530
2374,"ActiveX component download (Adware)",KeenValue,530
2192,"ActiveX component download (Adware)",WurldMedia,483
2319,"ActiveX component download (Adware)",ILookup,518
2968,"Installer (Trojan)","Hebogo_4",3386
4610,"ActiveX component download (Adware)",CoolWebSearch,599
1768,"Installer (Trojan)","Agent.YP_4",3386
339,"ActiveX component download (Adware)","Search_Miracle",844
3197,"ActiveX component download (Adware)",CoolWebSearch,599
381,"ActiveX component download (Adware)","Search_Miracle",844
739,"ActiveX component download (Adware)","Search_Miracle",844
2883,"Hoover the Mischievous Mutt Screensaver Setup Download (Adware)","Bundled-Software",100
368,"ActiveX component download (Adware)","Search_Miracle",844
3703,"(Trojan)",InstallBrain,3386
914,"ActiveX component download (Adware)","About_Blank",980
4634,"ActiveX component download (Adware)",CoolWebSearch,599
1742,"Installer (Trojan)","Bredolab.WD",3386
1469,"Trojan Installer (Trojan)","Rabbit.e",3339
4364,"ActiveX component download (Dialer)",IEAccess,456
2110,"Installer (Trojan)","Kraddare.BT",3386
3901,"Installer (Trojan)","XPAntiSpyware.AG_3",3386
3939,"Installer (Trojan)","Hebogo_12",3386
3918,"Installer (Trojan)","ArchSMS.YN",3386
3882,"Installer (Trojan)","SystemSecurity.AL_50",3386
666,"ActiveX component download (Adware)","Internet-Optimizer",869
